index,name,slug,equipment,movement_pattern,measurement_type,default_unit,calories_estimation_method,primary_muscle,primary_muscles,secondary_muscles,pattern_detail,plane_of_motion,exercise_utility,body_position,training_goal,difficulty,setup_cost,stability_requirement,unilateral_profile,loading_profile,joint_emphasis,spine_demand,grip_constraint,how_to_short
82,Pec Deck,pec-deck,Machine,push,reps,reps,,chest,core,,chest_fly,transverse,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,shoulder_horizontal_adduction,low_spinal_load,,"Keep a soft elbow bend, open through the chest until the shoulders stay packed, then bring the handles or bells back together with control."
83,Pendlay Row,pendlay-row,Barbell,pull,reps,reps,,"lats, mid back",lats | mid back,biceps,horizontal_pull,sagittal,basic,standing,strength | hypertrophy,advanced,high_setup,freestanding,bilateral,free_weight,horizontal_pull,high_spinal_load,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
84,Plank,plank,Bodyweight,push,time,s,,core,core,glutes,trunk_bracing,sagittal,basic,standing,conditioning | endurance,beginner,quick_setup,freestanding,bilateral,cardio_machine,trunk_bracing,low_spinal_load,,"Brace the trunk, keep the ribs stacked over the pelvis, and hold the position without letting the low back arch or the torso rotate."
85,Plate Front Raise,plate-front-raise,Plate,push,reps,reps,,front delts,front delts,upper traps,shoulder_flexion,sagittal,isolation,standing,hypertrophy | accessory,beginner,moderate_setup,freestanding,bilateral,free_weight,shoulder_flexion,low_spinal_load,,"Lift the load in front to shoulder height without leaning back, pause briefly, and lower under control."
86,Preacher Curl,preacher-curl,Machine,pull,reps,reps,,biceps,lats | mid back,biceps,elbow_flexion,sagittal,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,elbow_flexion,low_spinal_load,,"Keep the upper arm quiet, curl the load toward shoulder height, and lower without letting the torso sway or the shoulders roll forward."
87,Pull-Up,pull-up,Bodyweight,pull,reps,reps,,"lats, upper back",lats | upper back,biceps | core,vertical_pull,sagittal,basic,hanging,strength | hypertrophy,intermediate,quick_setup,hanging,bilateral,bodyweight,vertical_pull,low_spinal_load,hanging,"Start from a full hang or reach, pull the elbows toward the ribs until the bar comes to you, and lower to full extension under control."
88,Push Press,push-press,Barbell,push,reps,reps,,"front delts, triceps",front delts | triceps,quads | core,vertical_push,sagittal,basic,standing,hypertrophy | accessory,advanced,high_setup,freestanding,bilateral,free_weight,vertical_press,high_spinal_load,overhead_lockout,"Dip straight down, drive through the legs to transfer force into the load, and finish overhead with the trunk braced and elbows locked."
89,Push-Up,push-up,Bodyweight,push,reps,reps,,"chest, triceps",chest | triceps,front delts | core,horizontal_push,sagittal,basic,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,bodyweight,horizontal_press,low_spinal_load,,"Brace from head to heels, lower under control through your available range, and press back up without losing shoulder or trunk position."
90,Rack Pull,rack-pull,Barbell,hinge,reps,reps,,"upper back, upper traps, glutes",glutes | hamstrings,lower back | upper back,hinge,sagittal,basic,standing,hypertrophy | accessory,advanced,high_setup,freestanding,bilateral,free_weight,hip_dominant,low_spinal_load,,"Brace hard, pull the bar from the pins with it kept close to the body, and lock out the hips without leaning back."
91,Rear Delt Fly,rear-delt-fly,Dumbbell,pull,reps,reps,,rear delts,rear delts,upper back,shoulder_horizontal_abduction,transverse,isolation,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,free_weight,shoulder_horizontal_abduction,low_spinal_load,,"Set the shoulders down, sweep the arms out and back in line with the rear delts, and return without shrugging or jutting the ribs forward."
92,Reverse Hyperextension,reverse-hyperextension,Machine,hinge,reps,reps,,"glutes, hamstrings, lower back",glutes | hamstrings,lower back,hip_extension,sagittal,auxiliary,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,hip_dominant,low_spinal_load,,"Brace, drive through the heels, extend the hips until the ribs stay stacked, and lower without arching the low back."
93,Reverse Lunge,reverse-lunge,Dumbbell,push,reps,reps,,"quads, glutes",quads | glutes,adductors | core,split_squat_lunge,sagittal,auxiliary,split_stance,hypertrophy | accessory,intermediate,quick_setup,single_leg,unilateral,free_weight,knee_dominant,moderate_spinal_load,,"Stay tall through the trunk, lower until the lead leg takes the load and the back knee approaches the floor, then drive through the front foot."
94,Reverse Pec Deck,reverse-pec-deck,Machine,push,reps,reps,,rear delts,core,,shoulder_horizontal_abduction,transverse,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,shoulder_horizontal_abduction,low_spinal_load,,"Set the shoulders down, sweep the arms out and back in line with the rear delts, and return without shrugging or jutting the ribs forward."
95,Reverse-Grip Pushdown,reverse-grip-pushdown,Cable,push,reps,reps,,triceps,core,,elbow_extension,sagittal,isolation,standing,hypertrophy | accessory,beginner,moderate_setup,freestanding,bilateral,cable_loaded,elbow_extension,low_spinal_load,supinated_grip,"Pin the upper arm in place, extend the elbow to full lockout, and return with control instead of letting the weight yank you back."
96,Romanian Deadlift,romanian-deadlift,Barbell,hinge,reps,reps,,"hamstrings, glutes",hamstrings | glutes,lower back,hinge,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,hip_dominant,high_spinal_load,,"Unlock the knees, hinge the hips back with the load close to the body, and extend through the hips to stand tall."
97,Rope Pushdown,rope-pushdown,Cable,push,reps,reps,,triceps,core,,elbow_extension,sagittal,isolation,standing,hypertrophy | accessory,beginner,moderate_setup,freestanding,bilateral,cable_loaded,elbow_extension,low_spinal_load,,"Pin the upper arm in place, extend the elbow to full lockout, and return with control instead of letting the weight yank you back."
98,Rowing Machine,rowing-machine,Cardio Machine,push,time_distance,m,machine_reported,cardio,cardio,lats | quads,rowing,sagittal,basic,seated,conditioning | endurance,beginner,quick_setup,supported,bilateral,cardio_machine,cyclical_conditioning,low_spinal_load,,"Drive through the legs first, finish the pull with hips and arms in sequence, and recover smoothly back to the catch."
99,Russian Twist,russian-twist,Bodyweight,push,reps,reps,,core,core,hip flexors,trunk_rotation,transverse,auxiliary,standing,hypertrophy | accessory,intermediate,quick_setup,freestanding,bilateral,bodyweight,trunk_rotation,low_spinal_load,,"Rotate the ribcage as a unit from side to side, keep the hips quiet, and control the range instead of throwing the load with the arms."
100,Seated Barbell Overhead Press,seated-barbell-overhead-press,Barbell,push,reps,reps,,"front delts, triceps",chest | triceps,front delts,vertical_push,sagittal,basic,seated,strength | hypertrophy,intermediate,high_setup,supported,bilateral,free_weight,vertical_press,high_spinal_load,overhead_lockout,"Brace the trunk, press the load overhead on a controlled path, and finish with the ribs stacked over the hips instead of leaning back."
101,Seated Cable Row,seated-cable-row,Cable,pull,reps,reps,,"lats, mid back",lats | mid back,biceps | rear delts,horizontal_pull,sagittal,basic,seated,strength | hypertrophy,intermediate,moderate_setup,supported,bilateral,cable_loaded,horizontal_pull,low_spinal_load,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
102,Seated Dumbbell Shoulder Press,seated-dumbbell-shoulder-press,Dumbbell,push,reps,reps,,"front delts, triceps",chest | triceps,front delts,vertical_push,sagittal,basic,seated,hypertrophy | accessory,intermediate,quick_setup,supported,bilateral,free_weight,vertical_press,low_spinal_load,overhead_lockout,"Brace the trunk, press the load overhead on a controlled path, and finish with the ribs stacked over the hips instead of leaning back."
103,Seated Leg Curl,seated-leg-curl,Machine,hinge,reps,reps,,hamstrings,hamstrings,calves,knee_flexion,sagittal,isolation,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,hip_dominant,low_spinal_load,,"Set the hips firmly into the pad, curl the heels toward you without lifting the pelvis, and lower slowly through the full range."
104,Side Plank,side-plank,Bodyweight,push,time,s,,core,core,abductors,trunk_bracing,frontal,basic,standing,conditioning | endurance,beginner,quick_setup,freestanding,bilateral,cardio_machine,trunk_bracing,low_spinal_load,,"Brace the trunk, keep the ribs stacked over the pelvis, and hold the position without letting the low back arch or the torso rotate."
105,Single-Arm Cable Row,single-arm-cable-row,Cable,pull,reps,reps,,"lats, mid back",lats | mid back,biceps,horizontal_pull,sagittal,basic,standing,strength | hypertrophy,intermediate,moderate_setup,single_arm,unilateral,cable_loaded,horizontal_pull,low_spinal_load,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
106,Single-Arm Dumbbell Bench Press,single-arm-dumbbell-bench-press,Dumbbell,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | hypertrophy,intermediate,high_setup,single_arm,unilateral,free_weight,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
107,Single-Arm Dumbbell Row,single-arm-dumbbell-row,Dumbbell,pull,reps,reps,,"lats, mid back",lats | mid back,biceps,horizontal_pull,sagittal,basic,standing,strength | hypertrophy,intermediate,quick_setup,single_arm,unilateral,free_weight,horizontal_pull,low_spinal_load,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
108,Single-Arm Lat Pulldown,single-arm-lat-pulldown,Cable,pull,reps,reps,,lats,lats | mid back,biceps,vertical_pull,sagittal,basic,standing,hypertrophy | accessory,intermediate,moderate_setup,single_arm,unilateral,cable_loaded,vertical_pull,low_spinal_load,shoulder_depression,"Set the shoulders down first, pull the bar toward the upper chest by driving the elbows to your sides, and return to full reach without shrugging."
109,Single-Leg Hip Thrust,single-leg-hip-thrust,Bodyweight,hinge,reps,reps,,glutes,glutes,hamstrings | core,hip_extension,sagittal,auxiliary,supine,hypertrophy | accessory,intermediate,quick_setup,freestanding,unilateral,bodyweight,hip_dominant,low_spinal_load,,"Brace, drive through the heels, extend the hips until the ribs stay stacked, and lower without arching the low back."
110,Single-Leg Press,single-leg-press,Machine,squat,reps,reps,,"quads, glutes",quads | glutes,adductors,vertical_push,sagittal,basic,seated,hypertrophy | accessory,beginner,quick_setup,supported,unilateral,machine_loaded,vertical_press,low_spinal_load,,"Brace the trunk, press the load overhead on a controlled path, and finish with the ribs stacked over the hips instead of leaning back."
111,Single-Leg Romanian Deadlift,single-leg-romanian-deadlift,Dumbbell,hinge,reps,reps,,"hamstrings, glutes",hamstrings | glutes,core,hinge,sagittal,basic,standing,strength | hypertrophy,advanced,high_setup,balance_demanding,unilateral,free_weight,hip_dominant,high_spinal_load,,"Unlock the knees, hinge the hips back with the load close to the body, and extend through the hips to stand tall."
112,Skullcrusher,skullcrusher,Barbell,push,reps,reps,,triceps,core,,elbow_extension,sagittal,isolation,supine,hypertrophy | accessory,intermediate,high_setup,freestanding,bilateral,free_weight,elbow_extension,low_spinal_load,,"Pin the upper arm in place, extend the elbow to full lockout, and return with control instead of letting the weight yank you back."
113,Sled Push,sled-push,Sled,push,distance,m,,cardio,cardio,quads | glutes,sled_drive,sagittal,basic,standing,conditioning | power,beginner,quick_setup,freestanding,bilateral,cardio_machine,cyclical_conditioning,low_spinal_load,,"Lean into the handles with a rigid trunk, drive the sled with short powerful steps, and keep the feet pushing straight through the floor."
114,Smith Machine Bench Press,smith-machine-bench-press,Smith Machine,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | hypertrophy,beginner,high_setup,supported,bilateral,machine_loaded,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
115,Smith Machine Shoulder Press,smith-machine-shoulder-press,Smith Machine,push,reps,reps,,"front delts, triceps",chest | triceps,front delts,vertical_push,sagittal,basic,standing,hypertrophy | accessory,beginner,high_setup,supported,bilateral,machine_loaded,vertical_press,low_spinal_load,overhead_lockout,"Brace the trunk, press the load overhead on a controlled path, and finish with the ribs stacked over the hips instead of leaning back."
116,Smith Machine Squat,smith-machine-squat,Smith Machine,squat,reps,reps,,"quads, glutes",quads | glutes,adductors | core,squat,sagittal,basic,standing,strength | hypertrophy,beginner,high_setup,supported,bilateral,machine_loaded,knee_dominant,low_spinal_load,,"Brace the trunk, descend by sitting between the hips while keeping pressure through the whole foot, and drive up through mid-foot."
117,Snatch-Grip Deadlift,snatch-grip-deadlift,Barbell,hinge,reps,reps,,"glutes, hamstrings, upper back",glutes | hamstrings,lower back,hinge,sagittal,basic,standing,strength | hypertrophy,advanced,high_setup,freestanding,bilateral,free_weight,hip_dominant,high_spinal_load,,"Brace hard, keep the load close as you hinge and drive through the floor, and lock out the hips without overextending the low back."
118,Stair Climber,stair-climber,Cardio Machine,push,time,s,machine_reported,cardio,cardio,quads | glutes,step_cardio,sagittal,basic,standing,conditioning | endurance,beginner,quick_setup,supported,bilateral,cardio_machine,cyclical_conditioning,low_spinal_load,,"Stand tall, step through each stride with full foot contact, and keep the pace steady without pulling on the rails."
119,Stationary Bike,stationary-bike,Cardio Machine,push,time_distance,m,machine_reported,cardio,cardio,quads | hamstrings,cycling,sagittal,basic,seated,conditioning | endurance,beginner,quick_setup,supported,bilateral,cardio_machine,cyclical_conditioning,low_spinal_load,,"Set the resistance, pedal at a steady cadence with a quiet upper body, and keep pressure balanced through the full pedal stroke."
120,Step-Up,step-up,Dumbbell,push,reps,reps,,"quads, glutes",quads | glutes,hamstrings | core,split_squat_lunge,sagittal,auxiliary,split_stance,hypertrophy | accessory,intermediate,quick_setup,balance_demanding,unilateral,free_weight,knee_dominant,moderate_spinal_load,,"Stay tall through the trunk, lower until the lead leg takes the load and the back knee approaches the floor, then drive through the front foot."
121,Stiff-Leg Deadlift,stiff-leg-deadlift,Barbell,hinge,reps,reps,,"hamstrings, glutes",hamstrings | glutes,lower back,hinge,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,hip_dominant,high_spinal_load,,"Unlock the knees, hinge the hips back with the load close to the body, and extend through the hips to stand tall."
122,Straight-Arm Pulldown,straight-arm-pulldown,Cable,pull,reps,reps,,lats,lats,core,vertical_pull,sagittal,basic,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,vertical_pull,low_spinal_load,shoulder_depression,"Start from a full hang or reach, pull the elbows toward the ribs until the bar comes to you, and lower to full extension under control."
123,Stretch,stretch,Bodyweight,push,time,s,,recovery,recovery,,mobility_drill,multi_planar,preparatory,variable,mobility | recovery,beginner,quick_setup,freestanding,bilateral,cardio_machine,general_strength,low_spinal_load,,"Move through the intended stretch or mobility drill under control, breathe steadily, and stop short of any position that forces pain or joint compensation."
124,T-Bar Row,t-bar-row,Machine,pull,reps,reps,,"lats, mid back",lats | mid back,biceps,horizontal_pull,sagittal,basic,seated,strength | hypertrophy,beginner,quick_setup,supported,bilateral,machine_loaded,horizontal_pull,moderate_spinal_load,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
125,Tempo Back Squat,tempo-back-squat,Barbell,squat,reps,reps,,"quads, glutes",quads | glutes,adductors,squat,sagittal,basic,standing,strength | skill,advanced,high_setup,freestanding,bilateral,free_weight,knee_dominant,high_spinal_load,,"Brace hard, control the descent at the prescribed cadence, stay balanced through the foot, and stand without rushing out of the bottom."
126,Tempo Barbell Bench Press,tempo-barbell-bench-press,Barbell,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,supine,strength | skill,advanced,high_setup,supported,bilateral,free_weight,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
127,Tempo Deadlift,tempo-deadlift,Barbell,hinge,reps,reps,,"glutes, hamstrings, lower back",glutes | hamstrings,lower back,hinge,sagittal,basic,standing,strength | skill,advanced,high_setup,freestanding,bilateral,free_weight,hip_dominant,high_spinal_load,,"Brace hard, keep the bar close through the pull, and control each phase of the lift at the prescribed cadence."
128,Treadmill Run,treadmill-run,Cardio Machine,push,time_distance,m,machine_reported,cardio,cardio,quads | calves,running,sagittal,basic,standing,conditioning | endurance,beginner,quick_setup,supported,bilateral,cardio_machine,cyclical_conditioning,low_spinal_load,,"Set the pace and incline, stay tall through the torso, and keep each stride smooth from foot strike through push-off."
129,Triceps Pushdown,triceps-pushdown,Cable,push,reps,reps,,triceps,chest | triceps,front delts,elbow_extension,sagittal,isolation,standing,hypertrophy | accessory,beginner,moderate_setup,freestanding,bilateral,cable_loaded,elbow_extension,low_spinal_load,,"Pin the upper arm in place, extend the elbow to full lockout, and return with control instead of letting the weight yank you back."
130,Upright Row,upright-row,Barbell,pull,reps,reps,,"upper traps, side delts",side delts | upper traps,front delts,horizontal_pull,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,horizontal_pull,low_spinal_load,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
131,Walking Lunge,walking-lunge,Dumbbell,push,reps,reps,,"quads, glutes",quads | glutes,hamstrings | core,split_squat_lunge,sagittal,auxiliary,split_stance,hypertrophy | accessory,intermediate,quick_setup,balance_demanding,unilateral,free_weight,knee_dominant,moderate_spinal_load,,"Stay tall through the trunk, lower until the lead leg takes the load and the back knee approaches the floor, then drive through the front foot."
132,Weighted Plank,weighted-plank,Bodyweight,push,time,s,,core,core,glutes,trunk_bracing,sagittal,basic,standing,conditioning | endurance,advanced,quick_setup,freestanding,bilateral,cardio_machine,trunk_bracing,low_spinal_load,,"Brace the trunk, keep the ribs stacked over the pelvis, and hold the position without letting the low back arch or the torso rotate."
133,Weighted Pull-Up,weighted-pull-up,Bodyweight,pull,reps,reps,,"lats, upper back",lats | upper back,biceps | core,vertical_pull,sagittal,basic,hanging,strength | skill,advanced,high_setup,hanging,bilateral,bodyweight,vertical_pull,low_spinal_load,hanging,"Start from a full hang or reach, pull the elbows toward the ribs until the bar comes to you, and lower to full extension under control."
134,Weighted Push-Up,weighted-push-up,Bodyweight,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,standing,strength | skill,advanced,quick_setup,freestanding,bilateral,bodyweight,horizontal_press,low_spinal_load,,"Brace from head to heels, lower under control through your available range, and press back up without losing shoulder or trunk position."
135,Wide-Grip Lat Pulldown,wide-grip-lat-pulldown,Cable,pull,reps,reps,,"lats, upper back",lats | upper back,biceps,vertical_pull,sagittal,basic,standing,hypertrophy | accessory,intermediate,moderate_setup,freestanding,bilateral,cable_loaded,vertical_pull,low_spinal_load,wide_grip | shoulder_depression,"Set the shoulders down first, pull the bar toward the upper chest by driving the elbows to your sides, and return to full reach without shrugging."
136,Yates Row,yates-row,Barbell,pull,reps,reps,,"lats, mid back",lats | mid back,biceps,horizontal_pull,sagittal,basic,standing,strength | hypertrophy,intermediate,high_setup,freestanding,bilateral,free_weight,horizontal_pull,low_spinal_load,,"Brace the torso, pull the load toward the lower ribs or hip, squeeze the upper back, and return without letting the shoulders dump forward."
137,Chest Press,chest-press,Machine,push,reps,reps,,"chest, triceps",chest | triceps,front delts,horizontal_push,sagittal,basic,seated,hypertrophy | accessory,beginner,quick_setup,supported,bilateral,machine_loaded,horizontal_press,low_spinal_load,,"Set the shoulders back and down, lower the load to the chest or handles with stacked wrists, and press to full elbow extension under control."
